source,height_m,footprint_area_m2,volume_m3,centroid_lon,centroid_lat
OBM,4.5,29.373320584909727,132.17994263209377,105.56898607979242,20.995609702303515
OBM,4.5,114.4428439246541,514.9927976609434,105.56887332557618,20.995634245451516
OBM,4.5,71.15687685885304,320.20594586483867,105.56950945074354,20.995391920930775
OBM,4.5,32.244794037673714,145.10157316953172,105.56966886049536,20.99540705848556
OBM,4.5,11.881425361128244,53.466414125077094,105.56971283643585,20.99541407876662
OBM,4.5,60.26976706701903,271.21395180158567,105.56955540324074,20.99545979980456
OBM,4.5,27.373439209258834,123.18047644166475,105.56962658714964,20.995460179176096
OBM,4.5,104.90641619393989,472.0788728727295,105.56937468167571,20.995592914497852
OBM,4.5,163.4809717090375,735.6643726906688,105.56939624489426,20.995659974719082
OBM,4.5,125.57725484247521,565.0976467911385,105.56946795820738,20.99566741097029
OBM,3.0,11.92102758326196,35.76308274978588,105.5700805162275,20.995700998658013
OBM,4.5,34.98085343535349,157.4138404590907,105.56959979546345,20.99569630520493
OBM,4.5,97.45106498468151,438.52979243106677,105.56951387619084,20.99570839261471
OBM,3.0,26.298438689021683,78.89531606706505,105.57005325504286,20.995739028634237
OBM,3.0,16.115595256330785,48.346785768992355,105.5701306892506,20.995750935155648
OBM,4.5,58.4497363383156,263.0238135224202,105.5695550353877,20.99574670262534
OBM,4.5,74.69438849770653,336.1247482396794,105.5694092900751,20.995792820169058
OBM,3.0,51.68109130212689,155.04327390638065,105.56995621713047,20.99579696066078
OBM,4.5,45.54084414532843,204.93379865397793,105.56948057216405,20.995809821069425
OBM,6.0,11.70995052096092,70.25970312576553,105.57040120483174,20.995964710348893
OBM,6.0,77.62220348358309,465.73322090149856,105.5702560550306,20.99597569530777
OBM,6.0,12.354029002746366,74.1241740164782,105.57044119014778,20.995992419824393
OBM,3.0,36.43325822860972,109.29977468582916,105.56769753214797,20.99526904307255
OBM,4.5,155.9246414234992,701.6608864057464,105.56772063889586,20.995348416087293
OBM,4.5,64.6452940544212,290.9038232448954,105.5678748266845,20.99548433586382
OBM,4.5,119.78988875528823,539.054499398797,105.5677682541023,20.995493031212344
OBM,4.5,59.59875639085484,268.19440375884676,105.56769367826007,20.995549851546006
OBM,4.5,16.202577758470667,72.91159991311801,105.56765523469585,20.99559740852823
OBM,3.0,113.42292299195215,340.26876897585646,105.56830441009419,20.99573345098139
OBM,3.0,41.78214259740624,125.34642779221872,105.56816433195971,20.995791421787207
OBM,3.0,44.094404235033416,132.28321270510025,105.56825087731697,20.995819506515023
OBM,4.5,67.38666000901756,303.239970040579,105.56784806531637,20.99584749681186
OBM,4.5,7.7561343169769845,34.90260442639643,105.56694137204256,20.99552405881648
OBM,4.5,40.18611562448346,180.8375203101756,105.5673927555762,20.99554113365852
OBM,4.5,56.90760099987215,256.0842044994247,105.56700853742905,20.995543781178537
OBM,4.5,55.9227626453965,251.65243190428427,105.56722437010677,20.99554945855623
OBM,4.5,20.082439392707762,90.37097726718493,105.56735236536613,20.995574427441955
OBM,4.5,84.61666980984216,380.77501414428974,105.56716634629984,20.99558363747932
OBM,4.5,36.89136047599913,166.01112214199608,105.56743694608495,20.99558841158888
OBM,4.5,20.499317967338506,92.24693085302327,105.56726569911373,20.99559898204575
