xy_id,x_from_sw_m,y_from_sw_m,terrain_msl_m,topo_burn_top_msl_m,powerline_kind_in_xy,powerline_line_height_agl_m,powerline_line_base_msl_m,powerline_line_effective_base_msl_m,powerline_line_top_msl_m,powerline_pole_height_agl_m,powerline_pole_base_msl_m,powerline_pole_effective_base_msl_m,powerline_pole_top_msl_m
4738,2225.0,1525.0,25.747146606445312,30.0,line,35.0,58.24714660644531,58.24714660644531,63.24714660644531,0.0,25.747146606445312,30.0,25.747146606445312
4739,2225.0,1575.0,25.3885555267334,30.0,line,35.0,57.8885555267334,57.8885555267334,62.8885555267334,0.0,25.3885555267334,30.0,25.3885555267334
4843,2275.0,1425.0,24.879182815551758,25.0,line+pole,35.0,57.37918281555176,57.37918281555176,62.37918281555176,35.0,24.879182815551758,25.0,59.87918281555176
4844,2275.0,1475.0,23.44577407836914,25.0,line,35.0,55.94577407836914,55.94577407836914,60.94577407836914,0.0,23.44577407836914,25.0,23.44577407836914
4950,2325.0,1425.0,22.509632110595703,25.0,line,35.0,55.0096321105957,55.0096321105957,60.0096321105957,0.0,22.509632110595703,25.0,22.509632110595703
4951,2325.0,1475.0,22.451074600219727,25.0,line,35.0,54.95107460021973,54.95107460021973,59.95107460021973,0.0,22.451074600219727,25.0,22.451074600219727
5056,2375.0,1375.0,19.349891662597656,20.0,line,35.0,51.849891662597656,51.849891662597656,56.849891662597656,0.0,19.349891662597656,20.0,19.349891662597656
5057,2375.0,1425.0,16.902462005615234,20.0,line,35.0,49.402462005615234,49.402462005615234,54.402462005615234,0.0,16.902462005615234,20.0,16.902462005615234
5163,2425.0,1375.0,20.795482635498047,25.0,line+pole,35.0,53.29548263549805,53.29548263549805,58.29548263549805,35.0,20.795482635498047,25.0,55.79548263549805
5164,2425.0,1425.0,19.46244239807129,20.0,line+pole,35.0,51.96244239807129,51.96244239807129,56.96244239807129,35.0,19.46244239807129,20.0,54.46244239807129
5269,2475.0,1325.0,21.295013427734375,25.0,line,35.0,53.795013427734375,53.795013427734375,58.795013427734375,0.0,21.295013427734375,25.0,21.295013427734375
5270,2475.0,1375.0,22.461488723754883,25.0,line,35.0,54.96148872375488,54.96148872375488,59.96148872375488,0.0,22.461488723754883,25.0,22.461488723754883
5375,2525.0,1275.0,20.803762435913086,25.0,line,35.0,53.303762435913086,53.303762435913086,58.303762435913086,0.0,20.803762435913086,25.0,20.803762435913086
5376,2525.0,1325.0,22.749027252197266,25.0,line,35.0,55.249027252197266,55.249027252197266,60.249027252197266,0.0,22.749027252197266,25.0,22.749027252197266
5377,2525.0,1375.0,23.732343673706055,25.0,line,35.0,56.232343673706055,56.232343673706055,61.232343673706055,0.0,23.732343673706055,25.0,23.732343673706055
5482,2575.0,1275.0,23.600095748901367,25.0,line,35.0,56.10009574890137,56.10009574890137,61.10009574890137,0.0,23.600095748901367,25.0,23.600095748901367
5483,2575.0,1325.0,24.26778221130371,25.0,line,35.0,56.76778221130371,56.76778221130371,61.76778221130371,0.0,24.26778221130371,25.0,24.26778221130371
5588,2625.0,1225.0,21.376375198364258,25.0,line,35.0,53.87637519836426,53.87637519836426,58.87637519836426,0.0,21.376375198364258,25.0,21.376375198364258
5589,2625.0,1275.0,20.979389190673828,25.0,line+pole,35.0,53.47938919067383,53.47938919067383,58.47938919067383,35.0,20.979389190673828,25.0,55.97938919067383
5590,2625.0,1325.0,21.87137222290039,25.0,line,35.0,54.37137222290039,54.37137222290039,59.37137222290039,0.0,21.87137222290039,25.0,21.87137222290039
5693,2675.0,1125.0,20.572420120239258,25.0,line,35.0,53.07242012023926,53.07242012023926,58.07242012023926,0.0,20.572420120239258,25.0,20.572420120239258
