xy_id,ix,iy,iz,x_from_sw_m,y_from_sw_m,z_center_msl_m,z_bottom_msl_m,z_top_msl_m,terrain_msl_m,powerline_kind_in_xy,powerline_height_reference_used,topo_burn_top_msl_m,powerline_line_height_agl_m,powerline_line_base_msl_m,powerline_line_effective_base_msl_m,powerline_line_top_msl_m,powerline_pole_height_agl_m,powerline_pole_base_msl_m,powerline_pole_effective_base_msl_m,powerline_pole_top_msl_m,z_plot_bottom_msl_m,z_plot_top_msl_m,powerline_plot_kind,powerline_plot_height_agl_m,gx,gy,gz,burn_display_class,_use_true_xy_cell_size,plot_burn_powerline,plot_burn_building,plot_burn_topo,plot_burn_any,z_plot_bottom_agl_m,z_plot_top_agl_m
4844,45,29,11,2275.0,1475.0,57.5,55.0,60.0,23.44577407836914,line,AGL,25.0,35.0,55.94577407836914,55.94577407836914,60.94577407836914,0.0,23.44577407836914,25.0,23.44577407836914,55.94577407836914,60.0,line-air strand/cable,35.0,45,29,11,powerline,True,True,False,False,True,32.5,36.55422592163086
4844,45,29,12,2275.0,1475.0,62.5,60.0,65.0,23.44577407836914,line,AGL,25.0,35.0,55.94577407836914,55.94577407836914,60.94577407836914,0.0,23.44577407836914,25.0,23.44577407836914,60.0,60.94577407836914,line-air strand/cable,35.0,45,29,12,powerline,True,True,False,False,True,36.55422592163086,37.5
4950,46,28,11,2325.0,1425.0,57.5,55.0,60.0,22.509632110595703,line,AGL,25.0,35.0,55.0096321105957,55.0096321105957,60.0096321105957,0.0,22.509632110595703,25.0,22.509632110595703,55.0096321105957,60.0,line-air strand/cable,35.0,46,28,11,powerline,True,True,False,False,True,32.5,37.4903678894043
4950,46,28,12,2325.0,1425.0,62.5,60.0,65.0,22.509632110595703,line,AGL,25.0,35.0,55.0096321105957,55.0096321105957,60.0096321105957,0.0,22.509632110595703,25.0,22.509632110595703,60.0,60.0096321105957,line-air strand/cable,35.0,46,28,12,powerline,True,True,False,False,True,37.4903678894043,37.5
4951,46,29,10,2325.0,1475.0,52.5,50.0,55.0,22.451074600219727,line,AGL,25.0,35.0,54.95107460021973,54.95107460021973,59.95107460021973,0.0,22.451074600219727,25.0,22.451074600219727,54.95107460021973,55.0,line-air strand/cable,35.0,46,29,10,powerline,True,True,False,False,True,32.5,32.54892539978027
4951,46,29,11,2325.0,1475.0,57.5,55.0,60.0,22.451074600219727,line,AGL,25.0,35.0,54.95107460021973,54.95107460021973,59.95107460021973,0.0,22.451074600219727,25.0,22.451074600219727,55.0,59.95107460021973,line-air strand/cable,35.0,46,29,11,powerline,True,True,False,False,True,32.54892539978027,37.5
5056,47,27,10,2375.0,1375.0,52.5,50.0,55.0,19.349891662597656,line,AGL,20.0,35.0,51.849891662597656,51.849891662597656,56.849891662597656,0.0,19.349891662597656,20.0,19.349891662597656,51.849891662597656,55.0,line-air strand/cable,35.0,47,27,10,powerline,True,True,False,False,True,32.5,35.650108337402344
5056,47,27,11,2375.0,1375.0,57.5,55.0,60.0,19.349891662597656,line,AGL,20.0,35.0,51.849891662597656,51.849891662597656,56.849891662597656,0.0,19.349891662597656,20.0,19.349891662597656,55.0,56.849891662597656,line-air strand/cable,35.0,47,27,11,powerline,True,True,False,False,True,35.650108337402344,37.5
5057,47,28,9,2375.0,1425.0,47.5,45.0,50.0,16.902462005615234,line,AGL,20.0,35.0,49.402462005615234,49.402462005615234,54.402462005615234,0.0,16.902462005615234,20.0,16.902462005615234,49.402462005615234,50.0,line-air strand/cable,35.0,47,28,9,powerline,True,True,False,False,True,32.5,33.097537994384766
5057,47,28,10,2375.0,1425.0,52.5,50.0,55.0,16.902462005615234,line,AGL,20.0,35.0,49.402462005615234,49.402462005615234,54.402462005615234,0.0,16.902462005615234,20.0,16.902462005615234,50.0,54.402462005615234,line-air strand/cable,35.0,47,28,10,powerline,True,True,False,False,True,33.097537994384766,37.5
5163,48,27,10,2425.0,1375.0,52.5,50.0,55.0,20.795482635498047,line+pole,AGL,25.0,35.0,53.29548263549805,53.29548263549805,58.29548263549805,35.0,20.795482635498047,25.0,55.79548263549805,53.29548263549805,55.0,line-air strand/cable,35.0,48,27,10,powerline,True,True,False,False,True,32.5,34.20451736450195
