xy_id,x_from_sw_m,y_from_sw_m,lon,lat,terrain_msl_m,building_height_input_m,building_height_reference_used,building_height_agl_m,building_base_msl_m,building_top_msl_m,z_bottom_msl_m,z_top_msl_m,z_plot_bottom_msl_m,z_plot_top_msl_m,building_count_in_xy,building_volume_m3,_fig02_true_xy_builder
6375,2975.0,3125.0,105.5313991613674,21.008905041044912,17.33043670654297,40.2683219909668,AGL,40.2683219909668,17.33043670654297,57.598758697509766,25.0,30.0,25.0,30.0,8,131925.9019418815,powerline_style_burn_mask
6375,2975.0,3125.0,105.5313991613674,21.008905041044912,17.33043670654297,40.2683219909668,AGL,40.2683219909668,17.33043670654297,57.598758697509766,50.0,55.0,50.0,55.0,8,131925.9019418815,powerline_style_burn_mask
6266,2925.0,3025.0,105.53091485851083,21.008003017579625,21.442970275878906,18.144725799560547,AGL,18.144725799560547,21.442970275878906,39.58769607543945,20.0,25.0,21.442970275878906,25.0,4,44453.14636893372,powerline_style_burn_mask
6267,2925.0,3075.0,105.53091645676646,21.008454780081212,23.987031936645508,18.144725799560547,AGL,18.144725799560547,23.987031936645508,42.131757736206055,25.0,30.0,25.0,30.0,1,39847.13873245542,powerline_style_burn_mask
6374,2975.0,3075.0,105.53139756162115,21.008453278602673,21.026655197143555,18.144725799560547,AGL,18.144725799560547,21.026655197143555,39.1713809967041,25.0,30.0,25.0,30.0,8,42450.59313568502,powerline_style_burn_mask
6374,2975.0,3075.0,105.53139756162115,21.008453278602673,21.026655197143555,18.144725799560547,AGL,18.144725799560547,21.026655197143555,39.1713809967041,20.0,25.0,21.026655197143555,25.0,8,42450.59313568502,powerline_style_burn_mask
6267,2925.0,3075.0,105.53091645676646,21.008454780081212,23.987031936645508,18.144725799560547,AGL,18.144725799560547,23.987031936645508,42.131757736206055,20.0,25.0,23.987031936645508,25.0,1,39847.13873245542,powerline_style_burn_mask
6266,2925.0,3025.0,105.53091485851083,21.008003017579625,21.442970275878906,18.144725799560547,AGL,18.144725799560547,21.442970275878906,39.58769607543945,30.0,35.0,30.0,35.0,4,44453.14636893372,powerline_style_burn_mask
6266,2925.0,3025.0,105.53091485851083,21.008003017579625,21.442970275878906,18.144725799560547,AGL,18.144725799560547,21.442970275878906,39.58769607543945,25.0,30.0,25.0,30.0,4,44453.14636893372,powerline_style_burn_mask
6267,2925.0,3075.0,105.53091645676646,21.008454780081212,23.987031936645508,18.144725799560547,AGL,18.144725799560547,23.987031936645508,42.131757736206055,30.0,35.0,30.0,35.0,1,39847.13873245542,powerline_style_burn_mask
6267,2925.0,3075.0,105.53091645676646,21.008454780081212,23.987031936645508,18.144725799560547,AGL,18.144725799560547,23.987031936645508,42.131757736206055,35.0,40.0,35.0,40.0,1,39847.13873245542,powerline_style_burn_mask
