xy_id,x_from_sw_m,y_from_sw_m,terrain_msl_m,powerline_z_top_msl_m,powerline_z_top_agl_m,powerline_z_bottom_msl_m,powerline_voxel_count,powerline_plot_kind,powerline_kind_in_xy,powerline_plot_height_agl_m,powerline_line_height_agl_m,powerline_pole_height_agl_m,powerline_line_top_msl_m,powerline_pole_top_msl_m,building_z_top_msl_m,building_z_top_agl_m,building_z_bottom_msl_m,building_voxel_count,building_height_agl_m,powerline_minus_building_top_msl_m,powerline_minus_building_top_agl_m
9655,4525.0,1275.0,22.853317260742188,60.35331726074219,37.5,55.35331726074219,2,line-air strand/cable,line,35.0,35.0,0.0,60.35331726074219,22.853317260742188,27.644099235534668,4.7907819747924805,22.853317260742188,2,4.7907819747924805,32.70921802520752,32.70921802520752
10054,4675.0,5175.0,14.237428665161133,51.73742866516113,37.5,46.73742866516113,2,line-air strand/cable,line,35.0,35.0,0.0,51.73742866516113,14.237428665161133,18.99096393585205,4.753535270690918,14.237428665161133,2,4.753535270690918,32.74646472930908,32.74646472930908
11322,5275.0,4375.0,14.232434272766113,51.73243427276611,37.5,46.73243427276611,2,line-air strand/cable,line,35.0,35.0,0.0,51.73243427276611,14.232434272766113,18.92603588104248,4.693601608276367,14.232434272766113,2,4.693601608276367,32.80639839172363,32.80639839172363
11321,5275.0,4325.0,12.897726058959961,50.39772605895996,37.5,15.0,9,pole/tower column,line+pole,35.0,35.0,35.0,50.39772605895996,47.89772605895996,17.591327667236328,4.693601608276367,12.897726058959961,2,4.693601608276367,32.80639839172363,32.80639839172363
11320,5275.0,4275.0,10.07295036315918,47.57295036315918,37.5,42.57295036315918,2,line-air strand/cable,line,35.0,35.0,0.0,47.57295036315918,10.07295036315918,14.726419448852539,4.653469085693359,10.07295036315918,1,4.653469085693359,32.84653091430664,32.84653091430664
8042,3775.0,875.0,25.782733917236328,63.28273391723633,37.5,58.28273391723633,2,line-air strand/cable,line,35.0,35.0,0.0,63.28273391723633,25.782733917236328,30.28859233856201,4.505858421325684,25.782733917236328,2,4.505858421325684,32.994141578674316,32.994141578674316
10160,4725.0,5125.0,13.551701545715332,51.05170154571533,37.5,46.05170154571533,2,line-air strand/cable,line,35.0,35.0,0.0,51.05170154571533,13.551701545715332,18.003658771514893,4.4519572257995605,13.551701545715332,2,4.4519572257995605,33.04804277420044,33.04804277420044
4420,2075.0,1675.0,26.39605712890625,63.89605712890625,37.5,58.89605712890625,2,line-air strand/cable,line,35.0,35.0,0.0,63.89605712890625,26.39605712890625,30.830708503723145,4.4346513748168945,26.39605712890625,2,4.4346513748168945,33.065348625183105,33.065348625183105
4419,2075.0,1625.0,28.234867095947266,65.73486709594727,37.5,60.734867095947266,2,line-air strand/cable,line,35.0,35.0,0.0,65.73486709594727,28.234867095947266,32.66951847076416,4.4346513748168945,28.234867095947266,2,4.4346513748168945,33.065348625183105,33.065348625183105
9949,4625.0,5275.0,14.54466724395752,52.04466724395752,37.5,47.04466724395752,2,line-air strand/cable,line,35.0,35.0,0.0,52.04466724395752,14.54466724395752,18.968867301940918,4.424200057983398,14.54466724395752,2,4.424200057983398,33.0757999420166,33.0757999420166
