xy_id,x_from_sw_m,y_from_sw_m,lon,lat,terrain_msl_m,building_height_input_m,building_height_reference_used,building_height_agl_m,building_base_msl_m,building_top_msl_m,z_bottom_msl_m,z_top_msl_m,z_plot_bottom_msl_m,z_plot_top_msl_m,building_count_in_xy,building_volume_m3,_fig02_true_xy_builder
13866,6475.0,3175.0,105.56507819597782,21.009248315671158,11.846671104431152,4.962282657623291,AGL,4.962282657623291,11.846671104431152,16.808953762054443,10.0,15.0,11.846671104431152,15.0,2,262.2114361160544,powerline_style_burn_mask
12498,5825.0,4325.0,105.55886253762421,21.019659448760848,12.736913681030273,4.961148738861084,AGL,4.961148738861084,12.736913681030273,17.698062419891357,10.0,15.0,12.736913681030273,15.0,7,2275.106767136362,powerline_style_burn_mask
12498,5825.0,4325.0,105.55886253762421,21.019659448760848,12.736913681030273,4.961148738861084,AGL,4.961148738861084,12.736913681030273,17.698062419891357,15.0,20.0,15.0,17.698062419891357,7,2275.106767136362,powerline_style_burn_mask
14155,6625.0,1575.0,105.56646695600004,20.994787193103367,11.340080261230469,4.958691120147705,AGL,4.958691120147705,11.340080261230469,16.298771381378174,15.0,20.0,15.0,16.298771381378174,5,884.4549502433727,powerline_style_burn_mask
14155,6625.0,1575.0,105.56646695600004,20.994787193103367,11.340080261230469,4.958691120147705,AGL,4.958691120147705,11.340080261230469,16.298771381378174,10.0,15.0,11.340080261230469,15.0,5,884.4549502433727,powerline_style_burn_mask
7910,3675.0,4975.0,105.53819461613874,21.02559905210124,13.482986450195312,4.956546783447266,AGL,4.956546783447266,13.482986450195312,18.439533233642578,15.0,20.0,15.0,18.439533233642578,5,968.0624186792934,powerline_style_burn_mask
7910,3675.0,4975.0,105.53819461613874,21.02559905210124,13.482986450195312,4.956546783447266,AGL,4.956546783447266,13.482986450195312,18.439533233642578,10.0,15.0,13.482986450195312,15.0,5,968.0624186792934,powerline_style_burn_mask
7485,3475.0,5125.0,105.53627482632508,21.026960414874733,18.735702514648438,4.955623626708984,AGL,4.955623626708984,18.735702514648438,23.691326141357422,15.0,20.0,18.735702514648438,20.0,17,2182.0374286217084,powerline_style_burn_mask
7485,3475.0,5125.0,105.53627482632508,21.026960414874733,18.735702514648438,4.955623626708984,AGL,4.955623626708984,18.735702514648438,23.691326141357422,20.0,25.0,20.0,23.691326141357422,17,2182.0374286217084,powerline_style_burn_mask
12886,6025.0,2325.0,105.56071956009995,21.001582710606538,15.431013107299805,4.95436429977417,AGL,4.95436429977417,15.431013107299805,20.385377407073975,20.0,25.0,20.0,20.385377407073975,3,2561.39016268431,powerline_style_burn_mask
12886,6025.0,2325.0,105.56071956009995,21.001582710606538,15.431013107299805,4.95436429977417,AGL,4.95436429977417,15.431013107299805,20.385377407073975,15.0,20.0,15.431013107299805,20.0,3,2561.39016268431,powerline_style_burn_mask
8568,4025.0,425.0,105.5414144172575,20.98447802918196,18.03697967529297,4.953801155090332,AGL,4.953801155090332,18.03697967529297,22.9907808303833,20.0,25.0,20.0,22.9907808303833,1,377.7158768628841,powerline_style_burn_mask
8568,4025.0,425.0,105.5414144172575,20.98447802918196,18.03697967529297,4.953801155090332,AGL,4.953801155090332,18.03697967529297,22.9907808303833,15.0,20.0,18.03697967529297,20.0,1,377.7158768628841,powerline_style_burn_mask
13956,6525.0,2325.0,105.56553036238687,21.001566797140637,8.885173797607422,4.953618049621582,AGL,4.953618049621582,8.885173797607422,13.838791847229004,10.0,15.0,10.0,13.838791847229004,7,1598.7702749671673,powerline_style_burn_mask
13956,6525.0,2325.0,105.56553036238687,21.001566797140637,8.885173797607422,4.953618049621582,AGL,4.953618049621582,8.885173797607422,13.838791847229004,5.0,10.0,8.885173797607422,10.0,7,1598.7702749671673,powerline_style_burn_mask
6844,3175.0,5175.0,105.53338944996207,21.027421254988212,18.040874481201172,4.953088760375977,AGL,4.953088760375977,18.040874481201172,22.99396324157715,15.0,20.0,18.040874481201172,20.0,7,1393.4049359525654,powerline_style_burn_mask
6844,3175.0,5175.0,105.53338944996207,21.027421254988212,18.040874481201172,4.953088760375977,AGL,4.953088760375977,18.040874481201172,22.99396324157715,20.0,25.0,20.0,22.99396324157715,7,1393.4049359525654,powerline_style_burn_mask
3839,1775.0,4725.0,105.51990270008247,21.023397114289654,19.72777557373047,4.951488494873047,AGL,4.951488494873047,19.72777557373047,24.679264068603516,15.0,20.0,19.72777557373047,20.0,18,5791.195644291288,powerline_style_burn_mask
3839,1775.0,4725.0,105.51990270008247,21.023397114289654,19.72777557373047,4.951488494873047,AGL,4.951488494873047,19.72777557373047,24.679264068603516,20.0,25.0,20.0,24.679264068603516,18,5791.195644291288,powerline_style_burn_mask
12393,5775.0,4425.0,105.55838476299982,21.020564548280937,16.712093353271484,4.950628280639648,AGL,4.950628280639648,16.712093353271484,21.662721633911133,20.0,25.0,20.0,21.662721633911133,3,531.8853763092574,powerline_style_burn_mask
12393,5775.0,4425.0,105.55838476299982,21.020564548280937,16.712093353271484,4.950628280639648,AGL,4.950628280639648,16.712093353271484,21.662721633911133,15.0,20.0,16.712093353271484,20.0,3,531.8853763092574,powerline_style_burn_mask
3581,1675.0,2525.0,105.51887164141637,21.00352247666617,22.03415298461914,4.95019006729126,AGL,4.95019006729126,22.03415298461914,26.9843430519104,25.0,30.0,25.0,26.9843430519104,8,3218.202770743705,powerline_style_burn_mask
3581,1675.0,2525.0,105.51887164141637,21.00352247666617,22.03415298461914,4.95019006729126,AGL,4.95019006729126,22.03415298461914,26.9843430519104,20.0,25.0,22.03415298461914,25.0,8,3218.202770743705,powerline_style_burn_mask
12649,5925.0,1175.0,105.55971866756924,20.991195375017966,15.559494972229004,4.9487223625183105,AGL,4.9487223625183105,15.559494972229004,20.508217334747314,20.0,25.0,20.0,20.508217334747314,1,6637.16825837873,powerline_style_burn_mask
12648,5925.0,1125.0,105.5597169841262,20.99074361377383,13.520811080932617,4.9487223625183105,AGL,4.9487223625183105,13.520811080932617,18.469533443450928,10.0,15.0,13.520811080932617,15.0,2,7312.488806349551,powerline_style_burn_mask
12648,5925.0,1125.0,105.5597169841262,20.99074361377383,13.520811080932617,4.9487223625183105,AGL,4.9487223625183105,13.520811080932617,18.469533443450928,15.0,20.0,15.0,18.469533443450928,2,7312.488806349551,powerline_style_burn_mask
12542,5875.0,1175.0,105.55923762028733,20.991196955315147,11.641465187072754,4.9487223625183105,AGL,4.9487223625183105,11.641465187072754,16.590187549591064,10.0,15.0,11.641465187072754,15.0,2,6682.607592029423,powerline_style_burn_mask
12541,5875.0,1125.0,105.55923593829093,20.990745194033867,11.049992561340332,4.9487223625183105,AGL,4.9487223625183105,11.049992561340332,15.998714923858643,15.0,20.0,15.0,15.998714923858643,2,7312.488806349551,powerline_style_burn_mask
12542,5875.0,1175.0,105.55923762028733,20.991196955315147,11.641465187072754,4.9487223625183105,AGL,4.9487223625183105,11.641465187072754,16.590187549591064,15.0,20.0,15.0,16.590187549591064,2,6682.607592029423,powerline_style_burn_mask
12649,5925.0,1175.0,105.55971866756924,20.991195375017966,15.559494972229004,4.9487223625183105,AGL,4.9487223625183105,15.559494972229004,20.508217334747314,15.0,20.0,15.559494972229004,20.0,1,6637.16825837873,powerline_style_burn_mask
12541,5875.0,1125.0,105.55923593829093,20.990745194033867,11.049992561340332,4.9487223625183105,AGL,4.9487223625183105,11.049992561340332,15.998714923858643,10.0,15.0,11.049992561340332,15.0,2,7312.488806349551,powerline_style_burn_mask
5088,2375.0,2975.0,105.52562113596242,21.007567680795972,19.234634399414062,4.947399139404297,AGL,4.947399139404297,19.234634399414062,24.18203353881836,20.0,25.0,20.0,24.18203353881836,2,846.0164052078196,powerline_style_burn_mask
5088,2375.0,2975.0,105.52562113596242,21.007567680795972,19.234634399414062,4.947399139404297,AGL,4.947399139404297,19.234634399414062,24.18203353881836,15.0,20.0,19.234634399414062,20.0,2,846.0164052078196,powerline_style_burn_mask
6641,3125.0,375.0,105.53275431826115,20.984053564104123,16.652427673339844,4.946785926818848,AGL,4.946785926818848,16.652427673339844,21.59921360015869,20.0,25.0,20.0,21.59921360015869,3,1637.4548776090933,powerline_style_burn_mask
6641,3125.0,375.0,105.53275431826115,20.984053564104123,16.652427673339844,4.946785926818848,AGL,4.946785926818848,16.652427673339844,21.59921360015869,15.0,20.0,16.652427673339844,20.0,3,1637.4548776090933,powerline_style_burn_mask
3735,1725.0,4875.0,105.51942624126981,21.024753871757113,17.73589324951172,4.945687770843506,AGL,4.945687770843506,17.73589324951172,22.681581020355225,20.0,25.0,20.0,22.681581020355225,12,3082.8039593997005,powerline_style_burn_mask
3841,1775.0,4825.0,105.5199058328469,21.024300639235936,17.89270782470703,4.945687770843506,AGL,4.945687770843506,17.89270782470703,22.838395595550537,20.0,25.0,20.0,22.838395595550537,22,5495.016012601504,powerline_style_burn_mask
3842,1775.0,4875.0,105.51990739929147,21.024752401672952,18.716161727905273,4.945687770843506,AGL,4.945687770843506,18.716161727905273,23.66184949874878,20.0,25.0,20.0,23.66184949874878,16,6148.499710302855,powerline_style_burn_mask
3735,1725.0,4875.0,105.51942624126981,21.024753871757113,17.73589324951172,4.945687770843506,AGL,4.945687770843506,17.73589324951172,22.681581020355225,15.0,20.0,17.73589324951172,20.0,12,3082.8039593997005,powerline_style_burn_mask
3842,1775.0,4875.0,105.51990739929147,21.024752401672952,18.716161727905273,4.945687770843506,AGL,4.945687770843506,18.716161727905273,23.66184949874878,15.0,20.0,18.716161727905273,20.0,16,6148.499710302855,powerline_style_burn_mask
3841,1775.0,4825.0,105.5199058328469,21.024300639235936,17.89270782470703,4.945687770843506,AGL,4.945687770843506,17.89270782470703,22.838395595550537,15.0,20.0,17.89270782470703,20.0,22,5495.016012601504,powerline_style_burn_mask
3948,1825.0,4825.0,105.52038698937744,21.0242991678253,19.783241271972656,4.945316314697266,AGL,4.945316314697266,19.783241271972656,24.728557586669922,20.0,25.0,20.0,24.728557586669922,12,4515.456375931787,powerline_style_burn_mask
3948,1825.0,4825.0,105.52038698937744,21.0242991678253,19.783241271972656,4.945316314697266,AGL,4.945316314697266,19.783241271972656,24.728557586669922,15.0,20.0,19.783241271972656,20.0,12,4515.456375931787,powerline_style_burn_mask
3395,1575.0,3925.0,105.51795312175595,21.016174780802757,22.23196029663086,4.9451003074646,AGL,4.9451003074646,22.23196029663086,27.17706060409546,25.0,30.0,25.0,27.17706060409546,6,10222.891352839666,powerline_style_burn_mask
3288,1525.0,3925.0,105.51747199110304,21.016176244789676,23.75094985961914,4.9451003074646,AGL,4.9451003074646,23.75094985961914,28.69605016708374,25.0,30.0,25.0,28.69605016708374,6,10660.090315722293,powerline_style_burn_mask
3288,1525.0,3925.0,105.51747199110304,21.016176244789676,23.75094985961914,4.9451003074646,AGL,4.9451003074646,23.75094985961914,28.69605016708374,20.0,25.0,23.75094985961914,25.0,6,10660.090315722293,powerline_style_burn_mask
3395,1575.0,3925.0,105.51795312175595,21.016174780802757,22.23196029663086,4.9451003074646,AGL,4.9451003074646,22.23196029663086,27.17706060409546,20.0,25.0,22.23196029663086,25.0,6,10222.891352839666,powerline_style_burn_mask
12827,5975.0,4725.0,105.56031945641656,21.023268777495332,15.484016418457031,4.944137096405029,AGL,4.944137096405029,15.484016418457031,20.42815351486206,15.0,20.0,15.484016418457031,20.0,6,1974.5399590926356,powerline_style_burn_mask
12827,5975.0,4725.0,105.56031945641656,21.023268777495332,15.484016418457031,4.944137096405029,AGL,4.944137096405029,15.484016418457031,20.42815351486206,20.0,25.0,20.0,20.42815351486206,6,1974.5399590926356,powerline_style_burn_mask
14055,6575.0,1925.0,105.5659978173175,20.99795111600753,14.680957794189453,4.94390869140625,AGL,4.94390869140625,14.680957794189453,19.624866485595703,10.0,15.0,14.680957794189453,15.0,2,764.4646219826368,powerline_style_burn_mask
14054,6575.0,1875.0,105.56599611438979,20.997499355610383,13.696812629699707,4.94390869140625,AGL,4.94390869140625,13.696812629699707,18.640721321105957,10.0,15.0,13.696812629699707,15.0,3,1090.5611318590966,powerline_style_burn_mask
