route_key,direction,dk_name,db_name,edge_seq,from_node_id,to_node_id,from_name,to_name,from_role,to_role,x1,y1,x2,y2,edge_distance_m,edge_cost,nofly_clearance_m,nearest_flz_distance_m,route_hit_density,is_outer_zone_edge
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,4,8337,9302,TN028,TN002,TN_minor,TN_major,2750.0,4100.0,500.0,4600.0,2304.886114323222,1.590983808604466,179.00813186017209,185.88732306538478,137.52083333333334,1
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,5,9302,9510,TN002,TN013,TN_major,TN_minor,500.0,4600.0,800.0,4700.0,316.22776601683796,1.3298986592872255,301.1034129765426,1700.735135169495,188.0,1
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,6,9510,8491,TN013,TN017,TN_minor,TN_minor,800.0,4700.0,350.0,4200.0,672.6812023536855,2.0319287867890115,111.57499537009511,1700.735135169495,173.66666666666666,1
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,7,8491,9104,TN017,DK05,TN_minor,DK,350.0,4200.0,700.0,4500.0,460.9772228646444,0.4380492797790079,89.44271909999159,1724.0939649566667,151.0,1
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,8,9104,8713,DK05,TN001,DK,TN_major,700.0,4500.0,1350.0,4300.0,680.0735254367721,3.2636743708993494,114.11818077621729,1044.030650891055,145.46666666666667,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,9,8713,8946,TN001,TN006,TN_major,TN_major,1350.0,4300.0,2900.0,4400.0,1553.2224567009066,2.667778421054079,218.95080069504198,363.8444894456971,108.9090909090909,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,10,8946,4314,TN006,TN030,TN_major,TN_minor,2900.0,4400.0,3600.0,2100.0,2404.1630560342614,3.402966723294517,248.37036538336548,452.76925690687085,54.44,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,11,4314,3209,TN030,TN021,TN_minor,TN_minor,3600.0,2100.0,3900.0,1550.0,626.4982043070834,2.4871056099769033,235.65344126215976,172.22010136337005,76.14285714285714,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,12,3209,3114,TN021,TN007,TN_minor,TN_major,3900.0,1550.0,4200.0,1500.0,304.138126514911,1.9949590764685092,287.93777672494804,269.2582403567252,94.0,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,13,3114,2711,TN007,DB02,TN_major,DB,4200.0,1500.0,4250.0,1300.0,206.15528128088303,13.888462275581436,180.27756377319946,570.087712549569,91.66666666666667,0
DK03_to_DB01_forward,forward,DK03,DB01,0,9253,9357,DK03,TN020,DK,TN_minor,3100.0,4550.0,3250.0,4600.0,158.11388300841898,0.6568165719583419,424.26406871192853,930.0537618869137,88.8,0
DK03_to_DB01_forward,forward,DK03,DB01,1,9357,6194,TN020,TN008,TN_minor,TN_major,3250.0,4600.0,1650.0,3050.0,2227.6669409945466,0.7718305620386803,304.138126514911,196.77962857527214,113.43478260869566,0
DK03_to_DB01_forward,forward,DK03,DB01,2,6194,8325,TN008,TN018,TN_major,TN_minor,1650.0,3050.0,2150.0,4100.0,1162.9703349613008,0.7083481645890146,230.15883706209874,223.60679774997897,136.6,0
DK03_to_DB01_forward,forward,DK03,DB01,3,8325,4888,TN018,TN024,TN_minor,TN_minor,2150.0,4100.0,2000.0,2400.0,1706.6048165876011,0.7531509829618128,277.3967908823689,208.59099712507393,116.0,0
DK03_to_DB01_forward,forward,DK03,DB01,4,4888,2956,TN024,DB01,TN_minor,DB,2000.0,2400.0,1350.0,1450.0,1151.0864433221338,1.26025356623211,100.0,901.3878188659974,99.44,0
DB01_to_DK03_backward,backward,DK03,DB01,0,2956,4710,DB01,TN027,DB,TN_minor,1350.0,1450.0,3200.0,2300.0,2035.9273071502332,1.2343487575492424,100.0,170.718640614962,68.14285714285714,0
DB01_to_DK03_backward,backward,DK03,DB01,1,4710,6219,TN027,TN026,TN_minor,TN_minor,3200.0,2300.0,2900.0,3050.0,807.7747210701756,0.863900609726256,241.40950004671052,260.42286613151356,72.94444444444444,0
DB01_to_DK03_backward,backward,DK03,DB01,2,6219,6194,TN026,TN008,TN_minor,TN_major,2900.0,3050.0,1650.0,3050.0,1250.0,1.017075290043947,250.0,700.0,77.23076923076923,0
