edge_id,u,v,u_name,v_name,u_role,v_role,x1,y1,x2,y2,distance_m,nofly_clearance_m,route_hit_density,nearest_flz_distance_m,emergency_support,is_tn_edge,is_flz_edge,u_is_outer_zone,v_is_outer_zone,is_outer_zone_edge,edge_cost,aco_initial_desirability,edge_cost_distance_component,edge_cost_density_component,edge_cost_clearance_risk_component,edge_cost_outer_zone_component
173,8946,7321,TN006,TN010,TN_major,TN_major,2900.0,4400.0,2450.0,3600.0,917.8779875342909,390.51248379533274,76.7,283.4297266912896,0.9391691333399307,1,0,False,False,0,0.6198254117132478,1.6133575376264726,0.39983423461752604,0.4972403045549669,0.34914586034111206,0.0
174,8946,9510,TN006,TN013,TN_major,TN_minor,2900.0,4400.0,800.0,4700.0,2121.3203435596424,191.33826043961588,97.0909090909091,473.792621671613,0.8391426450537963,1,0,False,True,1,1.0667563637495474,0.9374211713020346,0.9240623562879265,0.6294330274560918,0.6811028992673069,1.0
175,8946,8825,TN006,TN014,TN_major,TN_minor,2900.0,4400.0,1900.0,4350.0,1001.2492197250393,264.6715330521267,83.04545454545455,372.04618980301206,0.8975025211976329,1,0,False,False,0,0.8389043611869724,1.1920309945523373,0.4361513413188811,0.5383774069111796,0.5588807782464555,0.0
176,8946,6805,TN006,TN015,TN_major,TN_minor,2900.0,4400.0,1900.0,3350.0,1450.0,390.4020915715591,110.56666666666666,123.87424101162802,0.9880834249882862,1,0,False,False,0,0.5437237736949563,1.8391691671017993,0.6316303997580653,0.7167953455927097,0.3493298473807349,0.0
177,8946,6912,TN006,TN016,TN_major,TN_minor,2900.0,4400.0,2200.0,3400.0,1220.6555615733703,390.51248379533274,97.07692307692308,221.3504009483606,0.9624452235856777,1,0,False,False,0,0.5751093609874947,1.738799727208308,0.5317263174644784,0.6293423571842024,0.34914586034111206,0.0
178,8946,8325,TN006,TN018,TN_major,TN_minor,2900.0,4400.0,2150.0,4100.0,807.7747210701756,343.56416020873166,84.5,167.23375265681764,0.9783876485974203,1,0,False,False,0,0.6411895116059212,1.559601306477087,0.3518724620579412,0.5478071151876754,0.4273930663187806,0.0
179,8946,9357,TN006,TN020,TN_major,TN_minor,2900.0,4400.0,3250.0,4600.0,403.11288741492746,390.51248379533274,111.0,680.0735254367721,0.6967503397493733,1,0,False,False,0,0.5737938119523662,1.742786309593411,0.1755988649831163,0.7196046128500825,0.34914586034111206,0.0
180,8946,4888,TN006,TN024,TN_major,TN_minor,2900.0,4400.0,2000.0,2400.0,2193.171219946131,170.99913005433353,76.2,337.49808692448306,0.9148563240181942,1,0,False,False,0,1.1383398567416168,0.8784722717716301,0.9553611133741093,0.4939988423349215,0.7150014499094441,0.0
181,8946,6219,TN006,TN026,TN_major,TN_minor,2900.0,4400.0,2900.0,3050.0,1350.0,335.4101966249685,66.17857142857143,550.0,0.7895215696607879,1,0,False,False,0,0.8676500140309129,1.1525384473334104,0.5880696825333712,0.4290306781245826,0.44098300562505255,0.0
182,8946,4710,TN006,TN027,TN_major,TN_minor,2900.0,4400.0,3200.0,2300.0,2121.3203435596424,346.5838070602653,64.77272727272727,289.99216714212446,0.936412142921743,1,0,False,False,0,0.8641372024986869,1.1572236412325039,0.9240623562879265,0.41991669668770165,0.4223603215662245,0.0
183,8946,8337,TN006,TN028,TN_major,TN_minor,2900.0,4400.0,2750.0,4100.0,335.4101966249685,390.51248379533274,85.5,412.31056256176606,0.8756292572035382,1,0,False,False,0,0.5596386954143109,1.7868671487408165,0.1461070872945932,0.5542900396277662,0.34914586034111206,0.0
184,8946,4314,TN006,TN030,TN_major,TN_minor,2900.0,4400.0,3600.0,2100.0,2404.1630560342614,248.37036538336548,54.44,452.76925690687085,0.8520106519007894,1,0,False,False,0,1.1343222410981724,0.8815837014990283,1.0472706704596502,0.35293040651854496,0.5860493910277242,0.0
185,3114,3709,TN007,TN011,TN_major,TN_major,4200.0,1500.0,3650.0,1800.0,626.4982043070834,235.65344126215976,85.14285714285714,133.78867023789297,0.9861134080158985,1,0,False,False,0,0.7953526952840242,1.257303842596391,0.2729071111959953,0.5519747094705909,0.6072442645630671,0.0
186,3114,3209,TN007,TN021,TN_major,TN_minor,4200.0,1500.0,3900.0,1550.0,304.138126514911,287.93777672494804,94.0,269.2582403567252,0.9449335938648561,1,0,False,False,0,0.6649863588228364,1.503790245818286,0.13248474926364295,0.6093948973685384,0.5201037054584199,0.0
187,3114,6219,TN007,TN026,TN_major,TN_minor,4200.0,1500.0,2900.0,3050.0,2022.992832414391,98.36558453695501,71.97619047619048,325.92019548518937,0.9203626705019903,1,0,False,False,0,1.2518011801488849,0.7988489033706323,0.8812301872038639,0.4666162043427283,0.836057359105075,0.0
