node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,model_index,x_original,y_original,x_m,y_m,candidate_eligible,route_hit_count,route_hit_fraction,is_objective,objective_label,objective_prefix,candidate_id,candidate_type,candidate_route_hit_count,original_model_index,shifted_from_model_index,candidate_shifted,candidate_shift_distance_m,original_nofly_clearance_m,nofly_clearance_m,shift_reason,is_candidate
41,2050.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,41,2050.0,0.0,2050.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
42,2100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,42,2100.0,0.0,2100.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
43,2150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,43,2150.0,0.0,2150.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
44,2200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,44,2200.0,0.0,2200.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
45,2250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,45,2250.0,0.0,2250.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
46,2300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,46,2300.0,0.0,2300.0,0.0,True,1,0.00228310502283105,False,,,,,,,,False,,,,,False
47,2350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,47,2350.0,0.0,2350.0,0.0,True,6,0.0136986301369863,False,,,,,,,,False,,,,,False
48,2400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,48,2400.0,0.0,2400.0,0.0,True,6,0.0136986301369863,False,,,,,,,,False,,,,,False
49,2450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,49,2450.0,0.0,2450.0,0.0,True,6,0.0136986301369863,False,,,,,,,,False,,,,,False
50,2500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,50,2500.0,0.0,2500.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
51,2550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,51,2550.0,0.0,2550.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
52,2600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,52,2600.0,0.0,2600.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
53,2650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,53,2650.0,0.0,2650.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
54,2700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,54,2700.0,0.0,2700.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
55,2750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,55,2750.0,0.0,2750.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
56,2800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,56,2800.0,0.0,2800.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
57,2850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,57,2850.0,0.0,2850.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
58,2900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,58,2900.0,0.0,2900.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
59,2950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,59,2950.0,0.0,2950.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
60,3000.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,60,3000.0,0.0,3000.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
61,3050.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,61,3050.0,0.0,3050.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
62,3100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,62,3100.0,0.0,3100.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
63,3150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,63,3150.0,0.0,3150.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
64,3200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,64,3200.0,0.0,3200.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
65,3250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,65,3250.0,0.0,3250.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
66,3300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,66,3300.0,0.0,3300.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
67,3350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,67,3350.0,0.0,3350.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
68,3400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,68,3400.0,0.0,3400.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
69,3450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,69,3450.0,0.0,3450.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
70,3500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,70,3500.0,0.0,3500.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
71,3550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,71,3550.0,0.0,3550.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
72,3600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,72,3600.0,0.0,3600.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
73,3650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,73,3650.0,0.0,3650.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
74,3700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,74,3700.0,0.0,3700.0,0.0,True,10,0.0228310502283105,False,,,,,,,,False,,,,,False
