route_file,route_name,route_key,source_kind,status,reason,n_raw_points,n_dense_points,hit_nodes
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00004,edge_table,processed,"edge-table route_key=forward_backup_01__part_00004; edges=23; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1398.5 m",24,36,380
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00005,edge_table,processed,"edge-table route_key=forward_backup_01__part_00005; edges=64; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3779.9 m",65,93,776
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00006,edge_table,processed,"edge-table route_key=forward_backup_01__part_00006; edges=61; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3464.2 m",62,82,748
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00007,edge_table,processed,"edge-table route_key=forward_backup_01__part_00007; edges=46; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3169.8 m",47,89,800
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00008,edge_table,processed,"edge-table route_key=forward_backup_01__part_00008; edges=91; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=5544.1 m",92,140,1012
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00009,edge_table,processed,"edge-table route_key=forward_backup_01__part_00009; edges=65; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3726.3 m",66,89,1003
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00010,edge_table,processed,"edge-table route_key=forward_backup_01__part_00010; edges=79; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4592.0 m",80,111,1133
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00011,edge_table,processed,"edge-table route_key=forward_backup_01__part_00011; edges=72; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4904.8 m",73,136,1112
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00012,edge_table,processed,"edge-table route_key=forward_backup_01__part_00012; edges=61; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4106.2 m",62,113,1018
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00013,edge_table,processed,"edge-table route_key=forward_backup_01__part_00013; edges=47; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=2929.9 m",48,76,509
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00014,edge_table,processed,"edge-table route_key=forward_backup_01__part_00014; edges=21; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1443.5 m",22,41,456
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00015,edge_table,processed,"edge-table route_key=forward_backup_01__part_00015; edges=51; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3274.9 m",52,87,806
