route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DB01_to_DK04_backward_main_02,DB01_to_DK04,backward_main_02,backward,main,2,1698.528137423857,30,1,0,0:0.333
DB01_to_DK04_backward_main_03,DB01_to_DK04,backward_main_03,backward,main,3,2305.634918610405,38,1,0,0:0.289
DB01_to_DK04_backward_main_04,DB01_to_DK04,backward_main_04,backward,main,4,2971.3203435596433,48,1,0,0:0.354
DB01_to_DK04_forward_backup_01,DB01_to_DK04,forward_backup_01,forward,backup,1,1398.5281374238575,24,1,0,0:0.458
DB01_to_DK04_forward_backup_02,DB01_to_DK04,forward_backup_02,forward,backup,2,1922.7922061357863,32,1,0,0:0.250
DB01_to_DK04_forward_backup_03,DB01_to_DK04,forward_backup_03,forward,backup,3,2588.477631085024,42,1,0,0:0.333
DB01_to_DK04_forward_backup_04,DB01_to_DK04,forward_backup_04,forward,backup,4,1598.528137423857,28,1,0,0:0.357
DB01_to_DK04_forward_main_01,DB01_to_DK04,forward_main_01,forward,main,1,1298.5281374238575,22,1,0,0:0.364
DB01_to_DK04_forward_main_02,DB01_to_DK04,forward_main_02,forward,main,2,2105.6349186104044,34,1,0,0:0.265
DB01_to_DK04_forward_main_03,DB01_to_DK04,forward_main_03,forward,main,3,2829.8989873223336,46,1,0,0:0.283
DB01_to_DK04_forward_main_04,DB01_to_DK04,forward_main_04,forward,main,4,1498.528137423857,26,1,0,0:0.231
DB01_to_DK05_backward_backup_01,DB01_to_DK05,backward_backup_01,backward,backup,1,3879.8989873223336,67,1,0,0:0.537
DB01_to_DK05_backward_backup_02,DB01_to_DK05,backward_backup_02,backward,backup,2,4121.320343559642,71,1,0,0:0.479
DB01_to_DK05_backward_backup_03,DB01_to_DK05,backward_backup_03,backward,backup,3,3626.3455967290597,64,1,0,0:0.891
DB01_to_DK05_backward_backup_04,DB01_to_DK05,backward_backup_04,backward,backup,4,4804.163056034262,83,1,0,0:0.482
DB01_to_DK05_backward_main_01,DB01_to_DK05,backward_main_01,backward,main,1,3779.898987322333,65,1,0,0:0.754
DB01_to_DK05_backward_main_02,DB01_to_DK05,backward_main_02,backward,main,2,4121.320343559642,71,1,0,0:0.479
DB01_to_DK05_backward_main_03,DB01_to_DK05,backward_main_03,backward,main,3,3626.3455967290597,64,1,0,0:0.891
DB01_to_DK05_backward_main_04,DB01_to_DK05,backward_main_04,backward,main,4,4621.320343559642,81,1,0,0:0.370
DB01_to_DK05_forward_backup_01,DB01_to_DK05,forward_backup_01,forward,backup,1,3779.898987322333,65,1,0,0:0.754
DB01_to_DK05_forward_backup_02,DB01_to_DK05,forward_backup_02,forward,backup,2,3879.898987322333,67,1,0,0:0.537
DB01_to_DK05_forward_backup_03,DB01_to_DK05,forward_backup_03,forward,backup,3,3626.34559672906,64,1,0,0:0.891
