edge_key,x1,y1,x2,y2,edge_distance_m,edge_hit_count,edge_visit_count,pair_hit_count,direction_hit_count,route_ids,pairs,directions
8840|8942,2650.0,4350.0,2700.0,4400.0,70.71067811865476,2,2,2,1,DB01_to_DK03_forward_backup_04;DK01_to_DK03_forward_backup_03,DB01_to_DK03;DK01_to_DK03,forward
8847|8948,3000.0,4375.0,3000.0,4375.0,50.0,2,2,2,2,DB01_to_DK03_forward_main_01;DB02_to_DK03_backward_main_02,DB01_to_DK03;DB02_to_DK03,backward;forward
8848|8950,3075.0,4375.0,3075.0,4375.0,70.71067811865476,2,2,2,1,DK01_to_DK03_backward_main_01;DK03_to_DK04_backward_backup_03,DK01_to_DK03;DK03_to_DK04,backward
8851|8951,3175.0,4375.0,3175.0,4375.0,70.71067811865476,2,2,2,1,DB01_to_DK03_backward_backup_02;DK03_to_DK06_backward_backup_04,DB01_to_DK03;DK03_to_DK06,backward
8851|8952,3200.0,4375.0,3200.0,4375.0,50.0,2,2,2,2,DB01_to_DK03_forward_backup_02;DB02_to_DK03_backward_main_01,DB01_to_DK03;DB02_to_DK03,backward;forward
8852|8953,3250.0,4375.0,3250.0,4375.0,50.0,2,2,2,2,DB01_to_DK03_forward_main_02;DB02_to_DK03_backward_main_04,DB01_to_DK03;DB02_to_DK03,backward;forward
885|987,3875.0,425.0,3875.0,425.0,70.71067811865476,2,2,1,2,DB01_to_DB02_backward_backup_01;DB01_to_DB02_forward_backup_03,DB01_to_DB02,backward;forward
8891|8993,175.0,4425.0,175.0,4425.0,70.71067811865476,2,2,2,2,DK02_to_DK03_backward_backup_03;DK02_to_DK05_forward_main_04,DK02_to_DK03;DK02_to_DK05,backward;forward
8912|9012,1200.0,4400.0,1150.0,4450.0,70.71067811865476,2,2,2,1,DK01_to_DK05_forward_backup_02;DK04_to_DK05_forward_backup_03,DK01_to_DK05;DK04_to_DK05,forward
8914|9014,1275.0,4425.0,1275.0,4425.0,70.71067811865476,2,2,2,1,DB01_to_DK05_forward_main_04;DK05_to_DK06_forward_backup_01,DB01_to_DK05;DK05_to_DK06,forward
8922|9022,1675.0,4425.0,1675.0,4425.0,70.71067811865476,2,2,2,2,DK01_to_DK02_forward_main_04;DK01_to_DK05_backward_backup_04,DK01_to_DK02;DK01_to_DK05,backward;forward
8922|9023,1700.0,4425.0,1700.0,4425.0,50.0,2,2,2,2,DK01_to_DK06_backward_main_03;DK03_to_DK06_forward_backup_02,DK01_to_DK06;DK03_to_DK06,backward;forward
8926|9026,1850.0,4450.0,1900.0,4400.0,70.71067811865476,2,2,2,1,DB01_to_DK06_backward_backup_04;DK01_to_DK06_backward_backup_03,DB01_to_DK06;DK01_to_DK06,backward
8929|9029,2050.0,4400.0,2000.0,4450.0,70.71067811865476,2,2,2,1,DB02_to_DK02_forward_main_03;DB02_to_DK06_forward_main_02,DB02_to_DK02;DB02_to_DK06,forward
8929|9031,2075.0,4425.0,2075.0,4425.0,70.71067811865476,2,2,1,2,DK03_to_DK06_backward_backup_02;DK03_to_DK06_forward_backup_01,DK03_to_DK06,backward;forward
8933|9033,2200.0,4450.0,2250.0,4400.0,70.71067811865476,2,2,2,1,DB02_to_DK05_backward_backup_01;DK01_to_DK06_backward_main_04,DB02_to_DK05;DK01_to_DK06,backward
8941|9043,2650.0,4400.0,2700.0,4450.0,70.71067811865476,2,2,2,1,DB01_to_DK03_forward_main_04;DK01_to_DK03_forward_main_03,DB01_to_DK03;DK01_to_DK03,forward
