version,pair,route_key,start_label,end_label,direction,route_type,route_rank,success,message,distance_m,distance_km,total_cost,n_path_nodes,expanded_nodes,runtime_sec,mean_distance_to_main_m,duplicated_from_main,duplicated_from_previous_main,used_full_map_retry,safe_fallback,main_avoid_previous_radius_m,backup_corridor_m,lock_mode,locked_overlap_nodes,locked_overlap_checked_nodes,locked_overlap_percent,mean_flz_support,mean_emergency_risk,mean_other_terminal_avoidance,mean_traffic_penalty_factor,route_file
v4,DB02_to_DK01,forward_main_01,DB02,DK01,forward,main,1,True,Path found by A* and post-smoothed by Theta* line-of-sight. nodes: 46 -> 2,3140.559159102155,3.1405591591021547,182.46553174138575,46,616,0.2656126022338867,,False,False,False,False,,,,0,0,0.0,0.8291865047326196,0.17081349526738027,0.010988495854726036,1.0087907966837808,output/thetastar_master_plan/route_nodes/DB02_to_DK01_forward_main_01.csv
v4,DB02_to_DK01,forward_backup_01,DB02,DK01,forward,backup,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3169.8484809835,3.1698484809835,184.1687444501011,47,98,0.04186892509460449,43.61702127659574,False,False,False,True,,50.0,strict_lock,0,41,0.0,0.8328882672049821,0.16711173279501787,0.01134659212752914,1.0090772737020233,output/thetastar_master_plan/route_nodes/DB02_to_DK01_forward_backup_01.csv
v4,DB02_to_DK01,forward_main_02,DB02,DK01,forward,main,2,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3564.823227814083,3.5648232278140832,212.3390447043151,52,472,0.19950103759765625,,False,False,False,True,200.0,,strict_lock,0,46,0.0,0.776582153520398,0.223417846479602,0.020786531836911308,1.016629225469529,output/thetastar_master_plan/route_nodes/DB02_to_DK01_forward_main_02.csv
v4,DB02_to_DK01,forward_backup_02,DB02,DK01,forward,backup,2,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3452.6911934581185,3.4526911934581186,203.8681132071452,51,99,0.04256844520568848,48.03921568627451,False,False,False,True,,50.0,strict_lock,0,45,0.0,0.7869538648709983,0.21304613512900164,0.01810578768039832,1.0144846301443187,output/thetastar_master_plan/route_nodes/DB02_to_DK01_forward_backup_02.csv
v4,DB02_to_DK01,forward_main_03,DB02,DK01,forward,main,3,True,Path found. [Theta* base path from project A*] [safe fallback attempted],4752.691193458119,4.752691193458119,287.64574481655046,77,1094,0.46148228645324707,,False,False,False,True,200.0,,strict_lock,0,70,0.0,0.7308232007065255,0.26917679929347427,0.011975989228831264,1.009580791383065,output/thetastar_master_plan/route_nodes/DB02_to_DK01_forward_main_03.csv
v4,DB02_to_DK01,forward_backup_03,DB02,DK01,forward,backup,3,True,Path found. [Theta* base path from project A*] [safe fallback attempted],4994.112549695428,4.994112549695428,301.15195525926856,81,117,0.05031394958496094,46.91358024691358,False,False,False,True,,50.0,strict_lock,0,74,0.0,0.7351643334074811,0.2648356665925189,0.011106527021827635,1.008885221617462,output/thetastar_master_plan/route_nodes/DB02_to_DK01_forward_backup_03.csv
v4,DB02_to_DK01,forward_main_04,DB02,DK01,forward,main,4,True,Path found. [Theta* base path from project A*] [safe fallback attempted],6933.452377915607,6.933452377915607,492.47449513548105,126,2142,0.8997290134429932,,False,False,False,True,150.0,,strict_lock,0,118,0.0,0.48996041288458714,0.5100395871154129,0.04822770485763022,1.0385821638861041,output/thetastar_master_plan/route_nodes/DB02_to_DK01_forward_main_04.csv
v4,DB02_to_DK01,forward_backup_04,DB02,DK01,forward,backup,4,True,Path found. [Theta* base path from project A*] [safe fallback attempted],6904.163056034262,6.904163056034262,492.5031116568933,125,273,0.11572027206420898,47.6,False,False,False,True,,50.0,strict_lock,0,118,0.0,0.4881879482921379,0.5118120517078621,0.05262698665523066,1.0421015893241845,output/thetastar_master_plan/route_nodes/DB02_to_DK01_forward_backup_04.csv
v4,DB02_to_DK01,backward_main_01,DK01,DB02,backward,main,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3199.137802864845,3.199137802864845,186.32784435969464,48,200,0.08666443824768066,,False,False,False,True,50.0,,strict_lock,0,42,0.0,0.8137210139064237,0.1862789860935763,0.013891102814598663,1.0111128822516788,output/thetastar_master_plan/route_nodes/DB02_to_DK01_backward_main_01.csv
v4,DB02_to_DK01,backward_backup_01,DK01,DB02,backward,backup,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3169.8484809835,3.1698484809835,184.34137963591422,47,85,0.037102460861206055,45.744680851063826,False,False,False,True,,50.0,strict_lock,0,41,0.0,0.8214851905461897,0.17851480945380999,0.012589781788574112,1.0100718254308594,output/thetastar_master_plan/route_nodes/DB02_to_DK01_backward_backup_01.csv
v4,DB02_to_DK01,backward_main_02,DK01,DB02,backward,main,2,True,Path found. [Theta* base path from project A*] [safe fallback attempted],4669.8484809835,4.6698484809835,303.2463682250472,77,2335,0.9938242435455322,,False,False,False,True,50.0,,strict_lock,0,70,0.0,0.6193398529591853,0.38066014704081474,0.023544447210432754,1.0188355577683461,output/thetastar_master_plan/route_nodes/DB02_to_DK01_backward_main_02.csv
v4,DB02_to_DK01,backward_backup_02,DK01,DB02,backward,backup,2,True,Path found. [Theta* base path from project A*] [safe fallback attempted],4752.691193458119,4.752691193458119,309.3111620583715,77,133,0.057184696197509766,48.05194805194805,False,False,False,True,,50.0,strict_lock,0,71,0.0,0.6053491543930348,0.3946508456069652,0.01816031901367675,1.0145282552109414,output/thetastar_master_plan/route_nodes/DB02_to_DK01_backward_backup_02.csv
v4,DB02_to_DK01,backward_main_03,DK01,DB02,backward,main,3,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3169.8484809835004,3.1698484809835006,184.08845709228925,47,254,0.11065363883972168,,False,False,False,True,0.0,,strict_lock,0,41,0.0,0.8332332245382518,0.1667667754617482,0.011347150177982164,1.0090777201423855,output/thetastar_master_plan/route_nodes/DB02_to_DK01_backward_main_03.csv
v4,DB02_to_DK01,backward_backup_03,DK01,DB02,backward,backup,3,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3228.42712474619,3.22842712474619,188.59715428573838,49,156,0.0661308765411377,138.396730694633,False,False,False,True,,200.0,strict_lock,0,41,0.0,0.8035395370322516,0.19646046296774825,0.014942332049201522,1.0119538656393612,output/thetastar_master_plan/route_nodes/DB02_to_DK01_backward_backup_03.csv
v4,DB02_to_DK01,backward_main_04,DK01,DB02,backward,main,4,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3257.7164466275353,3.2577164466275352,190.95841066959522,50,216,0.0919942855834961,,False,False,False,True,0.0,,strict_lock,0,42,0.0,0.7943044765102633,0.20569552348973674,0.015791964437020217,1.0126335715496164,output/thetastar_master_plan/route_nodes/DB02_to_DK01_backward_main_04.csv
v4,DB02_to_DK01,backward_backup_04,DK01,DB02,backward,backup,4,True,Backup failed; duplicated main route because ALLOW_BACKUP_DUPLICATE_IF_FAILED=True.,3257.7164466275353,3.2577164466275352,,50,0,0.0,0.0,True,False,False,False,,,,0,0,0.0,,,,,output/thetastar_master_plan/route_nodes/DB02_to_DK01_backward_backup_04.csv
v4,DB02_to_DK02,forward_main_01,DB02,DK02,forward,main,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],5331.980515339465,5.331980515339464,378.31952443591314,89,4473,1.9671835899353027,,False,False,False,True,,,,0,0,0.0,0.511814230600175,0.48818576939982505,0.046497738168303625,1.037198190534643,output/thetastar_master_plan/route_nodes/DB02_to_DK02_forward_main_01.csv
v4,DB02_to_DK02,forward_backup_01,DB02,DK02,forward,backup,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],5544.112549695428,5.544112549695428,396.23313148815527,92,151,0.06469559669494629,46.73913043478261,False,False,False,True,,50.0,strict_lock,0,86,0.0,0.5055906566591843,0.4944093433408156,0.04950921349783738,1.0396073707982698,output/thetastar_master_plan/route_nodes/DB02_to_DK02_forward_backup_01.csv
v4,DB02_to_DK02,forward_main_02,DB02,DK02,forward,main,2,True,Path found. [Theta* base path from project A*] [safe fallback attempted],5729.036790187179,5.729036790187179,485.3691377394803,87,5824,2.496131658554077,,False,False,False,True,200.0,,strict_lock,0,81,0.0,0.598977133187751,0.401022866812249,0.340449944759117,1.2723599558072938,output/thetastar_master_plan/route_nodes/DB02_to_DK02_forward_main_02.csv
v4,DB02_to_DK02,forward_backup_02,DB02,DK02,forward,backup,2,True,Path found. [Theta* base path from project A*] [safe fallback attempted],5829.036790187179,5.829036790187178,499.16016474907735,89,161,0.06958246231079102,48.87640449438202,False,False,False,True,,50.0,strict_lock,0,83,0.0,0.6009649820079873,0.3990350179920126,0.3577512223044274,1.286200977843542,output/thetastar_master_plan/route_nodes/DB02_to_DK02_forward_backup_02.csv
v4,DB02_to_DK02,forward_main_03,DB02,DK02,forward,main,3,True,Path found. [Theta* base path from project A*] [safe fallback attempted],6863.35136523794,6.86335136523794,588.2528886810455,113,6770,2.871884346008301,,False,False,False,True,50.0,,strict_lock,0,106,0.0,0.4955582857717342,0.5044417142282658,0.3323163287541102,1.2658530630032883,output/thetastar_master_plan/route_nodes/DB02_to_DK02_forward_main_03.csv
v4,DB02_to_DK02,forward_backup_03,DB02,DK02,forward,backup,3,True,Path found. [Theta* base path from project A*] [safe fallback attempted],7216.904755831214,7.216904755831214,613.6970787883814,118,244,0.10403132438659668,47.45762711864407,False,False,False,True,,50.0,strict_lock,0,111,0.0,0.48786446837733044,0.5121355316226694,0.3151318752221673,1.252105500177734,output/thetastar_master_plan/route_nodes/DB02_to_DK02_forward_backup_03.csv
