pair,direction,route_type,edge_seq,from_node_id,to_node_id,x1,y1,x2,y2,edge_distance_m,route_rank,route_key
DB01_to_DB02,forward,backup,48,3205,3206,3700.0,1550.0,3750.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,49,3206,3207,3750.0,1550.0,3800.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,50,3207,3208,3800.0,1550.0,3850.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,51,3208,3209,3850.0,1550.0,3900.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,52,3209,3210,3900.0,1550.0,3950.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,53,3210,3211,3950.0,1550.0,4000.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,54,3211,3212,4000.0,1550.0,4050.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,55,3212,3112,4050.0,1550.0,4100.0,1500.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,backup,56,3112,3012,4100.0,1500.0,4150.0,1450.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,backup,57,3012,2911,4150.0,1450.0,4150.0,1400.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,58,2911,2811,4150.0,1400.0,4200.0,1350.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,backup,59,2811,2711,4200.0,1350.0,4250.0,1300.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,main,0,2956,3056,1350.0,1450.0,1300.0,1500.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,1,3056,3156,1300.0,1500.0,1250.0,1550.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,2,3156,3256,1250.0,1550.0,1200.0,1600.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,3,3256,3358,1200.0,1600.0,1250.0,1650.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,4,3358,3460,1250.0,1650.0,1300.0,1700.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,5,3460,3562,1300.0,1700.0,1350.0,1750.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,6,3562,3664,1350.0,1750.0,1400.0,1800.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,7,3664,3766,1400.0,1800.0,1450.0,1850.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,8,3766,3767,1450.0,1850.0,1500.0,1850.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,9,3767,3869,1500.0,1850.0,1550.0,1900.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,10,3869,3870,1550.0,1900.0,1600.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,11,3870,3871,1600.0,1900.0,1650.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,12,3871,3872,1650.0,1900.0,1700.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,13,3872,3873,1700.0,1900.0,1750.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,14,3873,3874,1750.0,1900.0,1800.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,15,3874,3875,1800.0,1900.0,1850.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,16,3875,3876,1850.0,1900.0,1900.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,17,3876,3877,1900.0,1900.0,1950.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,18,3877,3878,1950.0,1900.0,2000.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,19,3878,3879,2000.0,1900.0,2050.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,20,3879,3880,2050.0,1900.0,2100.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,21,3880,3881,2100.0,1900.0,2150.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,22,3881,3882,2150.0,1900.0,2200.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,23,3882,3883,2200.0,1900.0,2250.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,24,3883,3884,2250.0,1900.0,2300.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,25,3884,3885,2300.0,1900.0,2350.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,26,3885,3886,2350.0,1900.0,2400.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,27,3886,3887,2400.0,1900.0,2450.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,28,3887,3888,2450.0,1900.0,2500.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,29,3888,3889,2500.0,1900.0,2550.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,30,3889,3890,2550.0,1900.0,2600.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,31,3890,3891,2600.0,1900.0,2650.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,32,3891,3892,2650.0,1900.0,2700.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,33,3892,3893,2700.0,1900.0,2750.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,34,3893,3894,2750.0,1900.0,2800.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,35,3894,3895,2800.0,1900.0,2850.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,36,3895,3896,2850.0,1900.0,2900.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,37,3896,3897,2900.0,1900.0,2950.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,38,3897,3898,2950.0,1900.0,3000.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,39,3898,3899,3000.0,1900.0,3050.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,40,3899,3900,3050.0,1900.0,3100.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,41,3900,3901,3100.0,1900.0,3150.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,42,3901,3902,3150.0,1900.0,3200.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,43,3902,3903,3200.0,1900.0,3250.0,1900.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,44,3903,3803,3250.0,1900.0,3300.0,1850.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,45,3803,3804,3300.0,1850.0,3350.0,1850.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,46,3804,3704,3350.0,1850.0,3400.0,1800.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,47,3704,3604,3400.0,1800.0,3450.0,1750.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,48,3604,3605,3450.0,1750.0,3500.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,49,3605,3606,3500.0,1750.0,3550.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,50,3606,3607,3550.0,1750.0,3600.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,51,3607,3608,3600.0,1750.0,3650.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,52,3608,3609,3650.0,1750.0,3700.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,53,3609,3610,3700.0,1750.0,3750.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,54,3610,3611,3750.0,1750.0,3800.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,55,3611,3612,3800.0,1750.0,3850.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,56,3612,3613,3850.0,1750.0,3900.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,57,3613,3614,3900.0,1750.0,3950.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,58,3614,3615,3950.0,1750.0,4000.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,59,3615,3616,4000.0,1750.0,4050.0,1750.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,60,3616,3516,4050.0,1750.0,4100.0,1700.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,61,3516,3517,4100.0,1700.0,4150.0,1700.0,50.0,2,forward_main_02
DB01_to_DB02,forward,main,62,3517,3417,4150.0,1700.0,4200.0,1650.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,63,3417,3317,4200.0,1650.0,4250.0,1600.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,64,3317,3217,4250.0,1600.0,4300.0,1550.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,65,3217,3117,4300.0,1550.0,4350.0,1500.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,66,3117,3017,4350.0,1500.0,4400.0,1450.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,67,3017,2915,4400.0,1450.0,4350.0,1400.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,68,2915,2813,4350.0,1400.0,4300.0,1350.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,main,69,2813,2711,4300.0,1350.0,4250.0,1300.0,70.71067811865476,2,forward_main_02
DB01_to_DB02,forward,backup,0,2956,3057,1350.0,1450.0,1350.0,1500.0,50.0,2,forward_backup_02
DB01_to_DB02,forward,backup,1,3057,3157,1350.0,1500.0,1300.0,1550.0,70.71067811865476,2,forward_backup_02
DB01_to_DB02,forward,backup,2,3157,3257,1300.0,1550.0,1250.0,1600.0,70.71067811865476,2,forward_backup_02
DB01_to_DB02,forward,backup,3,3257,3359,1250.0,1600.0,1300.0,1650.0,70.71067811865476,2,forward_backup_02
DB01_to_DB02,forward,backup,4,3359,3461,1300.0,1650.0,1350.0,1700.0,70.71067811865476,2,forward_backup_02
DB01_to_DB02,forward,backup,5,3461,3563,1350.0,1700.0,1400.0,1750.0,70.71067811865476,2,forward_backup_02
DB01_to_DB02,forward,backup,6,3563,3665,1400.0,1750.0,1450.0,1800.0,70.71067811865476,2,forward_backup_02
DB01_to_DB02,forward,backup,7,3665,3666,1450.0,1800.0,1500.0,1800.0,50.0,2,forward_backup_02
DB01_to_DB02,forward,backup,8,3666,3768,1500.0,1800.0,1550.0,1850.0,70.71067811865476,2,forward_backup_02
DB01_to_DB02,forward,backup,9,3768,3769,1550.0,1850.0,1600.0,1850.0,50.0,2,forward_backup_02
